That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The pandemic led to a postponement of traditional KU Commencement exercises last year::: and COVID-19 precautions continue to affect campus events. But today::: we can announce dates for two sets of graduates to assemble and celebrate: May 16 for the Class of 2021 and May 23 for the Class of 2020.  We wanted to share this news with you now::: but please be patient as details take shape — we still have much to do to ensure the safest ceremonies possible. As we confirm event details with the Pandemic Medical Advisory Team and city partners::: we will share them on the KU Commencement website:  COMMENCEMENT.KU.EDU Celebrating our 2020 and 2021 Graduates,2021-02-09 16:32:05,YES! Thank you! We will find a way to make it safe! 2021 and 2020 graduates deserve an in person ceremony! ❤️ Anything is better than nothing(:,I don't have a KU graduate (yet...3 more years!)::: but I think this is wonderful that you're honoring the class of 2020 with a ceremony as well ❤️,Thank you KU for making this happen!! RCJHKU!,Respectfully::: please reconsider having it after Kansas has reached herd immunity. Commencement isn't just about recognition::: it's about gathering. We accomplished the recognition with a virtual ceremony in 2020. Let's wait until herd immunity so we can gather without any worry about safety.,Thank you! Thank you! KU!!💙 I’m so excited as a parent of a 2021 Graduate that they’ll be a graduation ceremony!! Wahoo!!! RCJH!!,If the Class of 2020 gets to walk the hill::: please invite the Class of 1970 to walk with them like you originally did.,THANK YOU! Two of my boys graduated in 2020. It will be nice to potentially have an actual ceremony!,Chase PennewellEmma Thompson,Deb Pokres Gates,Devon Janicke Yazmin Janicke 🎊🎉,Jake Masuch Jennie Masuch Keith Masuch,Courtney Gard Jason Gard,Stacy Tinner III Anuj Pandya,Wow. A year late but it might happen!!!!,Why would 2021 go first? Still thankful though but like come on😂,Great plan.,Thank you::: KU!! ❤️💙❤️💙,Can’t wait!,So awesome !!! Yah,Caroline Nugent,We are Kansas!,So excited,Shelby Allen Mindy Myers Allen Nancy Clopton Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU researchers have published a feasibility study in the Journal of Music Therapy that has found that a music education system used for teaching children is also promising as music therapy in helping cancer patients deal with their emotions.  TODAY.KU.EDU Orff approach proves promising,2021-02-08 18:03:05,Music is known to sooth the soul!,Love this so much Dr Colwell.,Victoria Geisz Raupp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It’s pretty cold in Kansas today — but that’s not why this pic gives us chills. ❤️💙 #RockChalk,2021-02-08 16:02:03,Beautiful photo!,Love that place!!!!,There is too many wish in my heart and brain to study in Kansas University <3,Do miss my hometown!,❤️,Always.....Rock Chalk Jayhawk Love you! 💛🌻❤ Magical.....,In the academic year 1986/1987 I studied at the University of Kansas as part of the Kansas University Warsaw University scientific exchange program. I fondly remember the excellent campus and the kind people I meet in Lawrence.,Thank god to be in Georgia::: it got to 65 today::: I love Kansas::: but to cold at the moment.,Glorious to view...,Kansas skies the best miss them alot.,I see you. I’m from another dimension. Do you see me yet?,Them chills come from the basketball squad being unranked for the first time in 12 years 🥴,Beautiful picture!,Cold? It is -40 here...,We are Kansas!,Beautiful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks and congrats go out to two KU faculty members who adjusted their research to address the COVID-19 pandemic. They’re being honored with the one-time COVID Research Pivot Award. Read more about them and their research:  TODAY.KU.EDU 2021 KU COVID Research Pivot Awards,2021-02-05 22:25:03,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work of art? More like work of heart! ❤️ 💙  📸: Emma Nasseri::: first-year honors student double majoring in computer science and visual arts.,2021-02-05 16:20:12,These are beautiful! Well done!,We are Kansas!,Love these::: would purchase.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Looking for better child day care options in Kansas? Thanks to a $2.3 million state grant::: KU and Kansas State University will collaborate and improve the quality of their two independent training programs for the state’s child care providers.  NEWS.KU.EDU KU child care training partnership awarded $2.3M,2021-02-05 01:43:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU researcher has found that a growing number of Black parents are using home schooling. Why? To protect their children’s privacy — and shield them from racial preconceptions that can be a detriment to their educational opportunities.  NEWS.KU.EDU Parents protecting privacy,2021-02-04 15:37:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students planning a May graduation must submit an Application for Graduation by March 1 to ensure their names appear correctly in Commencement publications. For instructions::: visit the KU Commencement website. rockcha.lk/AFG  COMMENCEMENT.KU.EDU Apply for Graduation (AFG) | University of Kansas,2021-02-03 23:21:01,You don't tell me what to do. You're not my real dad.,I can help you get a man to date or sugar daddy to assist you or a girlfriend close to you. All you have to do is inbox with your state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of the most important factors for students debating a KU education is the availability of scholarships. Last year #OneDayOneKU raised nearly $100:::000 to fund general scholarships::: study abroad::: and scholarship hall scholarships. Thanks to generous Jayhawks::: more than 7:::000 students received scholarship aid in fall 2020. https://rockcha.lk/odoku21-fb,2021-02-03 16:26:02,This pic is giving me Brad and Wayalife Vibes,I can help you get a man to date or sugar daddy to assist you or a girlfriend close to you. All you have to do is inbox with your state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes::: you CAN do research at KU as an undergraduate — 41 students will get Undergraduate Research Awards this spring for mentored research and creative projects. The $1:::000 scholarships are awarded through the Center for Undergraduate Research.  TODAY.KU.EDU Undergraduate Research Awards,2021-02-02 18:54:04,Can i participate iam a student of renweble energy engineering from palestine,Rock Chalk Jayhawk!,I did from 1969-70.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s applaud three KU researchers who will be given achievement awards this spring — one for developing new strategies to treat cancer and other diseases::: and two others for their efforts to meet the needs of children with autism spectrum disorder.  NEWS.KU.EDU 2021 KU Research Achievement Awards,2021-02-02 16:45:15,Great job! We are Kansas!,🙌🏼🙌🏼🙌🏼,Amazing accomplishments to all 3 women!!!,Congratulations ❤️💙RCJH,Congrats Anna Wallisch!!!!,👏,Congratulations !,nice job,Outstanding!!!,Rock Chalk Ladies 💙❤️💙❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jayhawk Student Support Fund has been a lifeline to students facing unexpected financial barriers and emergencies in these unprecedented times. Last year #OneDayOneKU raised $35:::000 to support this fund::: which has helped more than 100 students since March 2020. https://rockcha.lk/odoku21-fb,2021-02-01 17:07:10,Or they can find a way like we could when we were in college and dealt with it ourselves. How are they going to deal with adversity if free handouts are going to be given to them?,Support palestinien students to visit you at summer for experiences changes,Stop erasing history on campus,Rock Chalk!,Try the Scholly app as it helps undergraduates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayhawks are back on the Hill and we couldn't be more excited! What advice do you have for students in spring semester? Show some love in the comments.,2021-02-01 15:18:02,Read ALL of your class syllabus! And go OUTSIDE!!,Enjoy every minute! It’s your last semester. Make it a great one! Rock Chalk! ❤️💙,Be focused!!,Prayers to them. Several freshman still haven’t experienced the “college experience” or got to do the chant they heard so much about. This pandemic not only robbed this class of their high school graduation but also their first year of college.,Talk to your faculty about the Regents move to fire them without just cause. Educate yourselves on the gutting of the university that we all love: https:// www2.ljworld.com /news/ku/2021/ jan/20/ regents-approve- temporary-polic y-allowing-univ ersity-ceos-mor e-power-to-dism iss-suspend-or- terminate-emplo yees/ ?fbclid=IwAR2ewg 6_GhbJxVKwp55Gw PhRPESLHHcCz-uZ aQnuPVwoQ2leFyu 4x_pygo0,Keep safe guys and Rock Chalk 🏀🏀🏀,Get a good nights sleep. Don’t cram for tests.,I guess my advice is don’t DM Michael Bruno 🤷🏼‍♀️🤦🏼‍♀️,"Wear a mask::: wash your hands::: and try to meet social distancing. Get as much sleep as you can (you'll need it). Remember why you are there (someone paid a lot of money for you). Enjoy the beauty of the campus::: and make lots of friends (you'll be surprised at how many become life long ones). Eat healthy if possible::: it makes the studies easier. Exercise. ""Live long and prosper.""",Have fun! Enjoy your time at KU! Why? Because we are Kansas!,Make the most of it ...,Are you ready to buy car? Are you ready to get spoil? Are you ready to pay your bills? Are you ready to pay your rent? Are you ready to pay your college? If yes dm me and get spoil 🥰 DM me on whatsapp +1(984) 999-2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you match up ever-changing workforce needs with the skills universities provide students to be successful on the job? Learn how a KU research center is charting the way through innovative learning maps.  NEWS.KU.EDU From learning outcomes to employment success,2021-01-29 22:45:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From prairie vistas to golden valleys::: Kansans enjoy sights that no coast could claim. Happy Kansas Day::: Jayhawks!,2021-01-29 15:25:03,I’m going to Wave the Wheat! Happy birthday Kansas!,Towering toward the blue,Happy birthday Kansaas. (and mine). I wish I was on the hill today!,A dark cloud has hung over KU since it turned aside a project that was proposed that would have helped this country and others lessen their dependence on fossil fuels. Ask for more into if interested in this environmental issue.,A message from the KS State Treasurer - #KansasDay  🌻 On this day::: 160 years ago::: Kansas was admitted into the union as the 34th state. 🌻  Tell us your favorite Kansas fact::: and it'll enter you for a chance to win $160 to go towards a 529 Education Savings Plan-\-\a perfect way to keep your kids and grandkids on track to success. Go here: https:// www.learningques t.com/home.html  Posts in the comments will be accepted from now till 5 pm::: Saturday::: January 30th! One winner will be randomly chosen and announced after 5 pm on Saturday! No purchases are necessary. This contest is not supported or endorsed by Facebook. Must be 18 to win. No taxpayer dollars are contributing to this award fund.,Always be my home!!!,Kansas!!,Love it,Rock Chalk!!!!!!!,Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last year on #OneDayOneKU::: Jayhawks across the globe raised nearly $1.8 million dollars in just 24 hours. Thanks to Jayhawks like you::: over 45 schools and units across all campuses were able to fund priorities that might not have been possible otherwise. See what we want to accomplish this year! https://rockcha.lk/odoku21-fb,2021-01-29 01:36:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s applaud the three KU faculty members and a Kansas State University professor who will be honored in April as recipients of the prestigious Higuchi-KU Endowment Research Achievement Awards. Read more about the honorees and the awards:  NEWS.KU.EDU 2021 Higuchi-KU Endowment Research Achievement Awards,2021-01-28 15:35:04,Congratulations to all persons honored!,They could pass as America’s Most Wanted!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Want to hit more free throws? Eat breakfast. KU researchers have published a study showing that eating breakfast can improve a basketball player’s shooting performance — sometimes by significant margins.  NEWS.KU.EDU Most important meal of the basketball day,2021-01-27 23:49:10,Dimitrije Cabarkapa Can I have your autograph youre famous,Tim Burkholder,Obviously::: Azubuike was not a morning guy!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU Foundation Distinguished Professor’s lab on a chip can detect signs of illness with ease. When COVID-19 struck::: Steven A. Soper’s team of Jayhawks repurposed their technology to aid the effort of ending the pandemic. See how KU’s students and resources support Soper’s crucial innovation.,2021-01-27 16:11:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After more than 40 years::: KU’s Jan Sheldon has retired. Read more about Sheldon’s work as a professor of applied behavioral science — and in spearheading community initiatives to keep young people in school and to help people with disabilities.  WWW2.LJWORLD.COM KU professor retires after decades of helping young people stay in school::: advocating for people with disabilities,2021-01-26 19:34:01,Congratulations . Enjoy your retirement.,Congratulations ::: thank you for your service and empathy towards young people.,Congrats Dr. Sheldon! You were one of my best Professors at KU! Thank you for all the help you gave!,Congrats Jan! I loved having you as a professor in undergrad. Enjoy your break.,Loved having class with Jan! One of the best professors I had at KU hands down!,Thank you Jan Sheldon for all you did for me as an undergrad student and especially for all the kids helped in the community ✨🙏💖,One of the very best teachers I ever had. Congrats to you!,Thank you and congratulations !,She had a good educational start at Independence High School in Independence::: Kansas.,Congratulations . Jan. Ann Wilkin Crow.,Linda Hybarger Spencer,Fantastic! She helped to guide me in my undergrad! ‘90,Amazing professor!,Thank you and enjoy,Taylor Crane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Important COVID-19 testing information for students::: faculty::: and staff: If you plan to be on campus on or before Friday::: Feb. 12::: you are REQUIRED to register for a COVID-19 test. Tests are free and saliva-based. Schedule yours at covidtest.ku.edu.  LOGIN.KU.EDU login.ku.edu,2021-01-26 16:41:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU’s Edwards Campus in Overland Park is responding to the Kansas City area’s need for elementary school teachers — this fall it will provide a new bachelor’s degree-completion program in K-6 education::: offered through KU’s School of Education & Human Sciences.  NEWS.KU.EDU New Bachelor of Science in Education,2021-01-25 19:25:03,Rock Chalk Jayhawk!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU::: FEB 18 One Day. One KU. 2021,2021-01-25 16:59:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark your calendars for #OneDayOneKU on Feb. 18::: 2021. You won’t want to miss this year’s festivities! https://rockcha.lk/odoku21-fb,2021-01-25 15:05:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU has been recognized nationally for its commitment to community engagement. The Carnegie Foundation’s 2020 Community Engagement Classification provides KU a framework to review its outreach activities with similar peer institutions.  NEWS.KU.EDU Carnegie Community Engagement Classification,2021-01-22 22:21:01,I used to go to the Carnegie Library in Independence Kansas... NOW THAT was a GREAT achievement of Carnegie!!!! Libraries across the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🌈 According to our estimations::: this rainbow starts at Potter Lake and ends at Allen Fieldhouse. Rock Chalk!,2021-01-22 16:25:03,You just have to watch out for Phog! We are Kansas!,I completely agree! Rock Chalk!,I think you need to consult your atmo majors 😉 RCJH anyway! ❤💙,Of course it does!,No place like home. ❤️💙,Rock Chalk!! 🎉🏀,Solar halo 😉 it's not raining,So cool! 😎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s applaud Garden City’s Stucky family: Several members are helping ease the rural doctor shortage there by practicing medicine in their hometown through the family medical residency program at KU School of Medicine-Wichita.  WICHITA.KUMC.EDU Five Stucky family members address rural doctor shortage through family medicine residency program,2021-01-22 01:41:01,Great job to everyone involved! Rock Chalk Jayhawk!!!,Sheryl Steck Stucky::: Brian Stucky::: Kay Stucky::: Shelly Stucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you planning to graduate in May? Then remember to submit an Application for Graduation by March 1 to make sure your name appears as you want it on your diploma and that it appears (or doesn’t) in Commencement publications. (This won’t confirm your graduation::: however — schools do that.) Find instructions and a link to Enroll & Pay::: where you’ll submit your AFG::: on the KU Commencement website. rockcha.lk/AFG,2021-01-21 15:18:02,Jake Masuch,Madison Williams,Rock Chalk Jayhawk!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you’re considering a graduate degree from KU::: we encourage you to join us for Explore Graduate School Week::: Jan. 19-22.  Over four days::: staff and faculty will host virtual sessions covering important elements of graduate study::: including funding opportunities::: the application process::: and professional potential. You’ll also have the opportunity to attend sessions specific to a program or area of interest.  We hope to see you there.  GOGRAD.KU.EDU Explore Graduate School Week,2021-01-19 18:52:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To craft a new set of Dyche Hall grotesques::: KU students::: educators::: and alumni spent more than three years chipping away at cottonwood limestone. See the results::: and learn how these eroded icons were reborn with old-fashioned artistry and new technology.,2021-01-19 16:47:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayhawks usually gather today at Strong Hall to take part in a New Orleans-style second line band march to honor the life and work of Martin Luther King Jr. While that traditional #MLKday march won’t take place this year::: there are still many upcoming opportunities to join the conversation locally::: including these:  🗓️ JAN. 20 | 7-8 p.m. | Join the KU Department of African and African-American Studies and Lawrence Public Library on Zoom for “Where Do We Go From Here: Chaos or Community?” KU professors Shawn Alexander::: Randal Jelks::: and Dorthy Pennington explore the classic question posed by King while incorporating perspectives gained in 2020. REGISTER: https://lawrence.bibliocommons.com/events/5fa074ce17d56731005e90bf  🗓️ FEB. 1 | Join KU’s Office of Multicultural Affairs for “Beyond the King:::” a social media takeover that aims to educate the community on the many different people who made the civil rights movement – and King’s work – possible but are often left out of conversations around this time of year.,2021-01-18 14:56:13,When I was on campus in 1967 activists tried to burn down the Union to protest the Vietnam War. I am glad you are channeling them in more productive directions!,I’m disappointed that I didn’t know about / participate in this while I was a student 2002-2008! So awesome! ❤️,I was there(Oliver Hall) in 1969::: & they DID 🔥 burn down the Union!,Sharon Bertolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sometimes discoveries are made where you would least expect them — like a new species of snake discovered by a KU graduate student. The snake was hidden for years in the herpetology collection at KU’s Biodiversity Institute & Natural History Museum.  NEWS.KU.EDU New snake species found hidden in biodiversity collection,2021-01-15 22:41:02,You can name the snake Missouri!,Wow. What a find.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
