Join a conversation that will analyze and unpack how COVID-19 is disproportionately impacting and exacerbating health inequities within low-income::: Native American::: Indigenous::: Black and Latinx communities. Panelists will discuss strategies to address inequities and disparities. Please register to attend.  Featured panel includes: -Dr. Yolandra Toya::: MD '88 Physician & Community Pediatrician -Dr. Chris Pernell::: MD::: MPH '97 Chief Strategic Integration & Health Equity Officer::: University Hospital -Dr. Owen Garrick::: MD::: MBA '90 President & CEO::: Bridge Clinical Research  Moderated by Ben Chang::: Deputy Vice President for Communications and University Spokesperson.  Race in the COVID Era: A Disparate Impact,2020-12-14 18:24:58,God knows it all,Me too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TellUsTigers: “I first learned ‘The Swan’ by Camille Saint-Saëns when I was 11 years old. I remember watching a video of a Yo-Yo Ma performance and crying during the last iteration of the theme — it was that beautiful. I imagine the swan both passionate and poised as it glides along::: aware of its surroundings but unbothered by them. I have been trying to embody that mentality as I move through a world in which so much is beyond my control. When classes became virtual last spring::: I hoped to take advantage of my newly flexible schedule by practicing more. Instead::: I found myself struggling to prioritize cello. With no upcoming performances::: I didn’t have any goals. It felt ‘unproductive’ to play cello when I could be working on assignments::: sleeping or exercising. Part of me also dreaded the way I would sound when I picked up my cello again after a long time away. At the same time::: I did not feel like myself without playing cello. I realized that playing cello now is self-care — something I do on a regular basis just because it makes me feel better. My role as a student coach with @TrentonArtsatPrinceton has helped me stay on track with this ‘self-care journey.’ Every Saturday::: I have a Zoom with my Trenton Youth Orchestra student::: Brandon::: whom I started teaching a year ago. Brandon responds quickly to feedback and improves a lot during his lessons. Since the pandemic started::: however::: it has been challenging for him to find a time to practice that does not interrupt his family members’ work-related calls. One piece of advice I give him is that practicing for five minutes is better than not practicing at all. I tell him what he should focus on if he only has five minutes — sometimes it is just a single measure of music. I would give myself and everyone the same advice: an all-or-nothing mindset is never healthy and is especially unhealthy right now. If I can’t fit in cello practice::: I listen to music. One of my go-to pieces is Mozart’s Requiem. My family thinks I am dramatic for this::: but I think the enormity & timeless subject matter of the piece help me keep things in perspective.” — Katie Cappola ’23; video by David Kelly Crow #Princetagram,2020-12-14 13:06:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By staining the roots of plants and their neighbors::: resulting in an illustrious and colorful model::: an international team of researchers led by #PrincetonU graduate student Ciro Cabal sheds light on the underground life of plants and how they compete with one another. #EnvironmentalResearch  PRINCETON.EDU How plants compete for underground real estate affects climate change and food production,2020-12-12 18:10:04,🌱 🪴 🌿 🌸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI::: DEC 18::: 2020 2020 James Madison Award Virtual Ceremony and Reception,2020-12-11 21:51:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton seniors Ilene E::: Arjun Sai Krishnan::: Austin Mejia and Karthik Ramesh have been named Schwarzman Scholars! 👏  The Schwarzman Scholarship covers the cost of graduate study and living toward a one-year master’s program at Tsinghua University in Beijing.  PRINCETON.EDU Four Princeton students awarded Schwarzman Scholarships for study in Beijing,2020-12-11 18:30:14,That’s awesome 👏 congratulations to all of you,Samir Kamat,Congratulations but be wise and watch out for the CCP undermining you to betray your country.,Good luck !,🤓,Awesome!,👏🏽👏🏽👏🏽👏🏽great work Princetonians,Ilene E congrats+gud luck!,Congratulations 🧡🖤,Arjun Sai Krishnan waaah so proud of u ! Congratulations 🎉,Congratulations Karthik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUN::: DEC 13::: 2020 Chanukah Live Stream: Menorah Lighting Ceremony with Chabad at Princeton,2020-12-11 14:22:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Good Morning America::: Princeton Engineering professor Howard Stone discusses the effectiveness of plexiglass barriers in mitigating the spread of #COVID19.  GOODMORNINGAMERICA.COM Do plexiglass dividers really protect you from COVID? New demo investigates,2020-12-10 20:52:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you head to Google today::: you just might see a familiar face.  Nobel Prize laureate Sir W. Arthur Lewis::: the first Black full professor at #PrincetonU::: served on the faculty from 1963 to 1983 and remained in emeritus status until his death in 1991.  On the anniversary of receiving his #NobelPrize in economic sciences::: Sir Lewis is featured as the Google Doodle worldwide.  GOOGLE.COM Celebrating Sir W. Arthur Lewis,2020-12-10 16:06:05,In 2017::: #PrincetonU renamed a major auditorium at Princeton School of Public and International Affairs in honor of Sir Lewis for his contributions to the world and as part of a broader effort to illuminate the University’s history more fully and reflect the vibrant diversity of our society. https://bit.ly/ 39WB4F9,Yes!!,Another Caribbean great,Clya Mitztoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""They said::: 'How many can you make?' ... I said::: 'How many do you need?'""  When Penn Medicine Princeton Health experienced a surge in coronavirus patients last spring::: it tapped #PrincetonU researchers for urgent solutions to help protect its healthcare workers.  Since then::: University labs have delivered more than 3:::000 reusable face shields to hospital staff as well as 1:::500 specialized covers for the powered air purifying respirators (PAPRs) used by medical workers in high-risk environments.  PRINCETON.EDU In pandemic::: Princeton graduate students and faculty raced to create innovative protections for hospital staff",2020-12-09 20:45:06,Good job::: Princeton!,Thank you Professors Cohen and Notterman! 👏,I wish I could study at Princeton ! 😢😥,+ wear mask !!!V,Don't talk face to face !!!V,Good,Our 10 year old helped assemble the simple first version of the face shield in an assembly line on our dining room table. Our family made 100.,Great embodiment of Princeton in the Nation’s Service. 👍,All you need::: my bro😘😘😘,:(,My oldest is an Er nurse at HUP - my youngest is getting her PhD in molecular biology at Princeton. #weareinthis#together,As an MCP nurse::: THANK YOU! ❤️,The resemblance with Stormtroopers is amusing,Thank you::: Princeton::: for helping fellow health care folks.,Thank you Princeton University our town::: Princeton is lucky to have you as part of our community! I didn’t go to Princeton (at least not yet) but my brother is an Alumni. I have seen first hand how you change lives not just of your students but of many others locally and around the world. ❤️❤️❤️Think global::: ACT local.,Thank you Princeton University great job 👏,Yessssss 💪,Best to eradicate everything that goes with SARS CoV 2.,👍,Thanks PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUE::: DEC 15::: 2020 SPACES OF BELONGING: A Public Conversation on Inclusive Campus Spaces,2020-12-09 02:41:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charged with developing general principles to govern questions about when and under what circumstances it might be appropriate for the University to remove or contextualize the names and representations of individuals present on the Princeton campus::: the Ad Hoc Committee on Principles to Govern Renaming and Changes to Campus Iconography is looking for feedback from the University community.  Listening sessions are available to provide feedback:  Faculty - Dec. 8 at 2pm and 3pm Graduate Students - Dec. 10 at 1pm and 2pm Undergraduates - Dec. 15 at 9am and 10am Staff - Dec. 15 at 11am  View the story for information regarding registration for listening sessions.  PRINCETON.EDU Committee on Principles to Govern Renaming and Changes to Campus Iconography seeks community input,2020-12-08 17:00:52,Where is the listening session for alums??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""We've reached a point in the United States where people aren't getting evicted because they're irresponsible::: they're getting evicted because it's almost inevitable.""  On CBS Sunday Morning::: sociology professor Matthew Desmond of the Eviction Lab joins Ted Koppel to discuss the looming eviction crisis in the United States.  CBSNEWS.COM The looming eviction crisis",2020-12-07 15:51:08,Pretty simple. You pay the owner of the building::: the person or entity who pays the taxes::: and you get a place to live. If you don’t pay::: you need to find other accommodations. This empathy trend rather than personal responsibility is getting old and of course led by those who do take personal responsibility::: pay their rent and taxes? What’s wrong with this picture?,"No job No rent No ""home"" kick them out who refuse to pay rent",Thanks China!!,Hmmmmm. I smell a rat or two....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An instrument deep underground in Italy has revealed the last missing detail of the fusion cycle powering our sun and other stars. ☀️  The instrument::: called the Borexino detector::: is supported by a National Science Foundation (NSF) grant that's over overseen by Princeton University - Physics professor emeritus Frank Calaprice and alumna Andrea Pocar *03 among others.  PRINCETON.EDU Massive underground instrument finds final secret of our sun’s fusion,2020-12-06 14:26:02,Fusion,Incredible,An incredible achievement by professor Frank Calaprice and Andrea Pocar among others. Congratulations to all!,"That is not a tenable headline. There is no ""final secret"" in scientific discovery.",Wow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using the same kind of logic that drives computers::: a team of researchers - including bioengineers and computer scientists from #PrincetonU - have produced a new way to target cancer cells::: promising treatments that are both safer and more broadly effective.  ENGINEERING.PRINCETON.EDU Computing empowers immune cells to kill cancer,2020-12-06 14:26:00,Amazing.,Another PRAISE GOD innovation!,Great,Very promising- keep up the good work,All luck,Adrian Lankenau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professor Betsy Paluck and other experts who study the way we think and make decisions say that it can be more than politics driving our decision-making this year. The unprecedented nature of the pandemic undermines how we process information and assess risk.  PROPUBLICA.ORG How Your Brain Tricks You Into Taking Risks During the Pandemic,2020-12-05 20:07:09,Diego Rielo😯,Enjoyed reading this article on decision making during the pandemic. Found a significant contradiction in the article though. Eve Witttenberg::: a decision scientist at Harvard::: states 'people are not stupid here'. Really? Stupid is defined as having or showing a great lack of intelligence or common sense. I'll give people the benefit of the doubt and rule out the 'having' part of the definition because I don't want to accuse people unfairly of not having intelligence so I'll focus on the 'showing' part of the definition. If stupid can be defined by a great lack of showing intelligence::: how to you account for the behavior at the Sturgis motorcycle rally or at the Barrett nomination celebration? During the peak of a pandemic to not wear face coverings and to gather in close quarters either amongst the hundreds of thousands of bikers in South Dakota or the hundreds of political insiders at the Rose Garden depicts stupidity at its finest::: in my opinion.,"""The journey of Princeton University::: is a shared resource::: sum in sun shine."" The amount of people from its start who contributed to the Princeton University. The amount of people who lived there daily lives in the world because of Princeton University. The stories::: memories::: vision. Its overwhelming::: Princeton University is not just land and bricks or education and administration its biology. Its tough to run a university::: Princeton University has delivered the code::: generated the seed and sculpted its history. Time to celebrate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ysabel Ayala ’21 from Manila::: Philippines scales Henry Moore’s sculpture “Oval with Points” as she rehearses her solo work created for this year's Dance Festival Reimagined.  Along with the entire global dance community::: the Lewis Center for the Arts Program in Dance is exploring the challenges of performance art in a socially distanced world. Where can dance happen? What can it do?  #PrincetonDanceFestival will be performed virtually this year Dec. 3-5::: exploring the intersections of dance and multimedia performance::: digital animation::: filmmaking::: site-based work and music in the #COVID19 era. Works to be presented have been led in their creation by professional choreographers Peter Chu::: Francesca Harper::: Rebecca Lazier::: Dean Moss::: Silas Riener and Olivier Tarpaga. The Festival is free and open to the public: https://bit.ly/3mK3bee  Photos Jon Sweeney,2020-12-04 17:39:44,Wow Philippines.:::.,Zubenathi Gqiba,Wow! Congrats Ysabel.,Fabulous,I could probably do the last one...,Go Philippines! Cheers!!!,Wow! Beautiful!,Wow very nice::::::,Jim Ayala - Chip off the old block? I don't exactly remember you doing this in our day::: but then again::: my memory's fading!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new professorship of Indigenous studies::: endowed by a gift from Wendy Schmidt and Eric Schmidt ‘76 will expand interdisciplinary research and teaching focused on Indigenous communities around the world::: build on Princeton’s interdisciplinary strengths and expand its faculty expertise in an area of study that is critically important to the University. #PrincetonForward  PRINCETON.EDU Eric and Wendy Schmidt endow new professorship of Indigenous studies at Princeton,2020-12-03 17:01:59,Finally the voiceless will learn to make their voices heard. Inspiring!,🤓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TellUsTigersPartII x #WellnessWednesday: “During my senior year at Princeton::: I began having random nose bleeds and my medical provider informed me that I had high blood pressure and was on the brink of needing medication to regulate it. I was 22 years old and devastated by this news. It was the call to action I needed to prioritize my health and well-being. I was an active member of several campus organizations::: president of the Class of 2018 and a residential college adviser — on top of a rigorous academic course load and maintaining social connections. To cope with stress::: I turned to food. I knew that emotional eating negatively impacted my physical and mental health::: yet I felt helpless. I started many fad diets and exercise programs::: which led to further disappointment as I was not focused on creating long-term::: sustainable health goals. The first time I was featured in #TellUsTigers — on Dec. 21::: 2017 — I reflected on academic experiences where other students made assumptions about my identity solely based on my race::: and the importance of fostering inclusive educational environments. I didn’t touch on it then::: but I was also dealing with some personal health challenges. After graduation::: I started a fulltime job and introduced group fitness and mindful eating into my regular wellness practice. In the beginning::: I worked with a fitness coach to establish my goals and track my progress. I have accountability partners for support too. This year has presented unique challenges. The severity of the pandemic and working in a virtual environment introduced potential stressors for us all. As a Black man::: I have been affected by the disproportionate impact of COVID-19 on my community and acts of racial injustice happening globally. In a time of turbulence::: I have been able to find strength and stability through wellness and leaning on my supportive community. As there is not a one-size fits all approach to wellness::: everyone must endeavor on their own personal journey to discover what improves their well-being and makes them feel good.” — Brandon McGhee ’18; photo by Zhao Chen #Princetagram,2020-12-02 20:29:10,Good evening sir::: I'm searching a scholarship to keep on my studies::: because I've no money to pay my studies. Carefully!,Wishing you continued courage and success on your personal journey of well-being. Thank you for sharing.,My Preview pre-frosh is amazing and all grown up!! Brandon McGhee 😍,Looking Good 👌👍,Thanks for sharing this::: Brandon.,Strong post! Thank you for sharing this important story that is shared by many struggling through an imbalanced system. Keep up the good work! 💪 #TigerStrength Princeton University,Thanks for sharing! Wishing you the best!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations::: #Princeton2025 QuestBridge Matches! 🎉  We’re so excited that you #MatchedWithPrinceton and we can’t wait to welcome you into the #PrincetonU community. 🐅,2020-12-01 23:32:53,Congratulations !,Congratulations ❣,Congratulations !!,Congratulations guys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
During #COVID19::: Princeton’s Global History Lab is continuing to partner with a worldwide network of universities and NGOs to teach history around the globe - not only among academics::: but also among learners hailing from diverse backgrounds::: including refugee and migrant learners in Africa::: Europe and the Middle East.  The Open Society University Network - an initiative announced at the 2020 World Economic Forum - has provided the Lab with a $2.4M grant to expand its network::: now ready to reach international students at 21 institutions worldwide.  PRINCETON.EDU Princeton's Global History Lab receives grant to expand open-access virtual classroom for students worldwide::: including refugee and migrant learners,2020-12-01 19:45:03,Jay Allen,Clya Mitztoo,Wow::: that’s great!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""I am proud that she has once again been called to serve our country::: this time in one of its most important leadership roles.""  President Eisgruber blogs about Princeton School of Public and International Affairs Dean Cecilia Rouse and her nomination as Chair of the Council of Economic Advisers under President-elect Joe Biden.  PRESIDENT.PRINCETON.EDU President’s Blog: Celebrating Dean Cecilia Rouse’s Nomination to Chair Biden’s Council of Economic Advisers | Office of the President",2020-11-30 18:30:13,👍,Such a proud moment!,We are all so proud!,Congratulations on achieving such a significant milestone!,Just watched her speech accepting the new position::: very talented.,Congratulations dear Dean😗,Congratulations Dean Rouse,Glad for a new administration filled with competent people. And glad Janet Yellen will be at Treasury.,🍃🌸🍃Congrats!🍃🌸🍃,Paula Cullison,Congratulations !!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Looking to #ShopSmall and support local businesses on #SmallBusinessSaturday? Look no further than the Winter Village Artist Chalets in Princeton. 🛍  Hot cocoa::: sidewalk sales and handmade gifts from local artists are spread throughout downtown Princeton::: now through December 24.  FACEBOOK.COM www.facebook.com,2020-11-28 13:07:01,Love the Winter Chalets. Princeton keeps getting better at the holidays!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The late Toni Morrison — world-renowned writer::: Nobel Prize laureate and #PrincetonU professor emeritus — will be honored in a Literacy Partners marathon reading of her novel “Song of Solomon” on November 25-27 as well as a posthumous induction into the National Women's Hall of Fame.  PRINCETON.EDU Toni Morrison to be honored in Thanksgiving marathon reading::: posthumous induction to National Women’s Hall of Fame,2020-11-25 20:46:04,💚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In a message to the Princeton community::: President Eisgruber has announced that all enrolled undergraduate and graduate students are invited to campus for Spring 2021. The University will also continue to support remote learning for any undergraduate student who chooses it. We encourage students and families to consider carefully which option for the coming semester is best for them; we will support our students however they choose to continue their studies. Read the full announcement: https://bit.ly/3pTghYV  For questions regarding tuition::: housing::: move-in::: and other information::: visit: spring2021.princeton.edu,2020-11-24 17:08:05,Thank you for this News,Happy Thanksgiving.,Best news this year! 🖤🧡🐅,I realize that most classes will still be remote::: and just a few will be hybrid classes. Hopefully faculty::: especially those at high-risk::: have a choice wether they want to teach a hybrid class or have it fully remote. I would feel anxious to be in a classroom for a lengthy period of time.,When cases in Mercer county were at zero to one per day::: it wasn’t safe to have students on campus in the fall. But now that Mercer county cases are spiking at 15-20 per day::: it’s safe to bring everyone back? What exactly is the risk assessment here? We are in the midst of an uncontrolled pandemic with no current national response or plan. Testing is great::: but what about prevention? There will be no bubble::: so we are relying on the least responsible students to stick to strict guidelines? I just don’t think it’s a good idea.,I hope the school finds a way to deliver at least 50% of classes in person. Current plan is ALL ONLINE. Countless other schools have found ways to accomplish this.,Thank you for the news Princeton university! Thank you for the options and continued support. I hope all students and faculty will be safe. Happy Thanksgiving to all!🦃🧡🖤 By the way::: I love the scarf!,Great News!,Good News,Best news!!!! So excited for all the students!!! Thank you!!! 🧡🖤🧡🖤,What an awesome Thanksgiving gift to the Princeton community,Thank you Princeton!!!,Mercer county daily cases are now at over 200 per day... I really think this decision will be reversed due to events overtaking our best intentions 😥,It is a bad decision.🙁 The COVID cases are going up. 😞,Wonderful news!,they have their own testing lab,Wonderful news!,So excited and happy for all🧡🖤,Progressive !,I sincerely hope it IS going to be the right decision. I have reservations::: and feel it is not. It's best to be remote this Spring and let this pass.,Best thanksgiving gift.,I MISS PRINCETON UNIVERSITY. THE VERY BEST HAPPY THANKSGIVING. NLDHP,Thank you Princeton!!!,Thank you for this wonderful news! Our students are incredibly grateful!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
