"Want to get an inside look at what it means to be a Husky? See UConn through the eyes of 10 students as Amazon Prime's ""The College Tour"" comes to Storrs.

Catch our full episode on YouTube::: Amazon Prime::: and Roku 👉 youtu.be/V2KtqT5CmF0",2021-07-07 08:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Students: Want a chance to be eligible for free on-campus housing for the fall 2021 semester?

📲 Upload your vaccination record or exemption to myhealth.uconn.edu by tomorrow (July 7) to be automatically entered.",2021-07-06 17:18:00,What if u don’t live on campus but got vaccinated?,When will the drawing be announced,OMG really! Anything for a jab!,So now you hide my comment because you don't like it!,Madeline Haefele you should do this!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UConnMag | Truman and Udall Scholar Sage Phillips ’22 (CLAS) is unearthing more of UConn’s origin story. » s.uconn.edu/this-land,2021-07-06 11:04:00,Good for you::: Sage !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 4th of July::: UConn Nation! 🇺🇸,2021-07-04 09:11:00,Happy 4th of July! 🇺🇸,Happy 4th!!🎉🇺🇸,Happy 4th!,"Top Fan
Waldina Benedith",Happy Independence Day! Stay safe.🇺🇸,HAPPY INDEPENDENCE DAY!,Let's go UCONN HUSKIES,<< GDO BLESS YOU ALL KIDS >> OSCAR DE LA PARRA GARAY ORGANIZAZION << 745 >> << JOHN316 >> 101 << : >> 74 💙💙💙,the holiday should be referenced correctly as Independence Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Northwest Science Quad is starting to take shape!

Once complete::: the complex will include a 198:::000-square-foot modern research facility and related amenities::: a cornerstone of the Next Generation Connecticut program.",2021-07-02 12:11:00,And how much is tuition jumping to cover this? Look::: I get the desire to be competitive::: but at what point do we have to consider that UConn is no longer really affordable for lower middle class families even? 35K in-state for being on campus (tuition::: room & board) is about 3x as much as it was just 17 years ago. That's far::: far greater than the rate of inflation.,wait is west campus still there looking like projects or did they renovate those?!,This campus is a construction zone at all times. And we wonder why tuition is always going up.,I guess Huskies and Ted’s are gone. 🙁,Yes let's take away more parking areas,When are they going to expand Ted’s?,Tyler Raffauf X lot and farmer browns,Salina Fotiathis unreal!,Anna McCabe Justin Pedneault,RIP Farmer Brown 😢,WHOAAAA.,Omar Soliman,Catherine Smallman Lauren Schmidt Allyson Rose !!!,<< MÁS PARA TI MÁS PARA TODOS KIDS >> QSCAR DE LA PARRA GARAY <<745>> << JOHN16 >> ORGANIZAZION 101 << : >> 74 💙💙💙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A new exhibit at the Ballard Institute and Museum of Puppetry::: inspired by the Black Lives Matter movement::: demonstrates the medium's ability to address complex social issues.

The museum is open by reservation only on Fridays and Saturdays.

TODAY.UCONN.EDU
Ballard Museum Exhibition Examines 'Puppetry's Racial Reckoning' - UConn Today",2021-07-02 08:18:00,💯🤡🤡🤡🤡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So far::: 69.8% of our Storrs residential students have reported that they are partially or fully vaccinated.

Help us get that number up by reporting your status at myhealth.uconn.edu. It's easy and only takes a few minutes!

➡️ covid.uconn.edu/campus-info/vaccinations",2021-07-01 13:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As we prepare to return to campus this fall::: Dean of Students Eleanor JB Daugherty announced a few updates regarding our fall semester plans.

» s.uconn.edu/fall-21-student-updates",2021-06-30 16:30:00,Great incentive to get vaccinated very soon ! Wishing you all well !,"https://
www.npr.org/
2021/06/28/
1011043728/
lawsuit-challeng
es-indiana-univ
ersitys-mandate
-requiring-covi
d-19-vaccinatio
n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The UConn School of Medicine has received a gift of $7 million from the Neag Foundation to fund high-risk/high-reward research—research that has the potential to change medicine and improve human health globally. » s.uconn.edu/neag-foundation-gift,2021-06-30 14:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Find some shade and stay cool out there today::: Huskies!,2021-06-29 11:35:00,Still a welcoming site,I haven't been on campus there for many years. Changed some.,I remember when the campus had many more old::: large trees! :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UConnMag | In response to the current social climate::: Judy Brown::: a faculty member of the Institute for System Genomics::: decided to offer a special-topics class this year — ISG 5095: Diversity and Inclusion in Genetics. » s.uconn.edu/isg-5095,2021-06-28 12:12:00,Good!! Hit them where it hurts the most!! $$$33,AWESOME!,"https://
www.wtnh.com/
sports/
uconn-huskies/
parents-students
-threaten-to-su
e-uconn-over-co
vid-vaccination
-mandate/
?utm_medium=refe
rral&utm_source
=facebook.com&u
tm_campaign=soc
ialflow","https://
youtu.be/
zp_zNSEW1wc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UConnMag | They had waited long enough. UConn’s classes of 2020 and 2021 gathered in person at The Rent for five days in May to celebrate endings and beginnings — together. » s.uconn.edu/finally,2021-06-26 10:03:00,It was beautiful!,I UConn,"https://
www.wtnh.com/
sports/
uconn-huskies/
parents-students
-threaten-to-su
e-uconn-over-co
vid-vaccination
-mandate/
?utm_medium=refe
rral&utm_source
=facebook.com&u
tm_campaign=soc
ialflow","https://
youtu.be/
zp_zNSEW1wc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interim President Dr. Andrew Agwunobi will host two University Town Halls next week to discuss plans for the fall semester::: masking::: distancing::: vaccinations::: returning to work::: remote working::: and to answer your questions. ⬇️

Student Town Hall
Tuesday::: June 29 at 1 p.m.

Faculty & Staff Town Hall
Thursday::: July 1 at 10 a.m.

Submit your questions ➡️ ait.uconn.edu/town-hall",2021-06-25 17:33:26,Lorrin Jackson,"https://
www.wtnh.com/
sports/
uconn-huskies/
parents-students
-threaten-to-su
e-uconn-over-co
vid-vaccination
-mandate/
?utm_medium=refe
rral&utm_source
=facebook.com&u
tm_campaign=soc
ialflow","Under federal law::: employers and universities cannot legally mandate COVID vaccines because they are unlicensed Emergency Use Authorization products which are::: by definition::: experimental.

http://
stateofthenation
.co/?p=67482","https://
youtu.be/
zp_zNSEW1wc",when will UCONN accept CLEP and when will transfer credits count as in residence ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UConnMag | UConn Health EMS coordinator Peter Canning published his latest book::: on the opioid crisis::: while battling the Covid pandemic. » s.uconn.edu/double-jeopardy,2021-06-24 12:55:02,"https://
www.wtnh.com/
sports/
uconn-huskies/
parents-students
-threaten-to-su
e-uconn-over-co
vid-vaccination
-mandate/
?fbclid=IwAR3uQH
dlr5LlxKSvpU_0t
Gv9N3coW3fnxx0y
KemDnZr4yt8UO_2
RoJeKrUg","https://
youtu.be/
zp_zNSEW1wc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Five former UConn Women's Basketball standouts were selected to the 2020 U.S. Olympic Women's Basketball Team! Sue Bird::: Tina Charles::: Napheesa Collier::: Breanna Stewart and Diana Taurasi will represent USA Basketball in Tokyo. 🇺🇸

UCONNHUSKIES.COM
Five UConn Alums Named to U.S. Olympic Women’s Basketball Team - University of Connecticut Athletics",2021-06-23 13:50:30,Go UConn!!! Go team USA!!!,I'm pretty sure they'll be doing Olympics until they're in a retirement home,Cheers all around::: UCONN,How exciting; can’t wait to watch.,...go uconn huskies wimmen...rqq roo,Go USA.,Plus::: Stefanie Dolson & Katie Lou Samuelson for the 3x3 team!!,Elizabeth Gurekovich 🙌,Wow that is great!,YAY!!!!,Jessica DiGiacomo!,You go ladies!,Yahoo!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The summer issue of #UConnMag is headed to your mailbox!

Can't wait? Read it now ➡️ magazine.uconn.edu",2021-06-22 16:08:06,Mandatory vaccinations,"I have enough credits from MCC::: CCSU::: CLEP::: and Military credits (128 credits) for a UCONN BGS Degree for almost 20 years..........
. They won't let me graduate without taking a single class at UCONN. because of By laws the registrar told me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It’s not just bees and butterflies that are under threat: UConn entomologist and Professor David Wagner says all kinds of insects are at risk for “a death by a thousand cuts.”

Full video » s.uconn.edu/insect-apocalypse",2021-06-22 13:08:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moving away from shrinking coastlines is one option for rising sea levels::: but as UConn research demonstrates::: it's a strategy with many complications.

TODAY.UCONN.EDU
Should We Stay or Should We Go? Shoreline Homes and Rising Sea Levels in Connecticut - UConn Today",2021-06-21 16:36:00,you can't afford a coastal home if you went to public college in Connecticut. Average mid career earning is only a low $90:::000 a year.,"Rising sea levels from climate change? Bwahaha. Who believes that garbage?

https://
www.scienceunder
attack.com/
blog/2019/9/23/
no-evidence-that
-climate-change
-is-acceleratin
g-sea-level-ris
e-35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As fast-food companies increase their spending on advertising::: they are disproportionately targeting young Black and Latino people::: according to new research from UConn Rudd Center for Food Policy & Obesity.

TODAY.UCONN.EDU
Rudd Center: New Study Finds Fast-Food Companies Spending More on Advertising::: Disproportionately Targeting Black and Latino Youth - UConn Today",2021-06-20 18:25:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Father's Day to all the dads in UConn Nation!,2021-06-20 14:13:54,"https://
www.wtnh.com/
sports/
uconn-huskies/
parents-students
-threaten-to-su
e-uconn-over-co
vid-vaccination
-mandate/
?utm_medium=refe
rral&utm_source
=facebook.com&u
tm_campaign=soc
ialflow","https://
youtu.be/
zp_zNSEW1wc",Give me an honorary degree if you won't accept my 128 transfer credits. I earned a BGS Degree almost 20 years ago.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today::: on Juneteenth::: we celebrate freedom and reflect on the significance of this day in our nation's history.,2021-06-19 13:04:23,n juneteenth?i thought that was what we did on the 4th of july!!!!!! why them,"Long overdue. However::: in discussing racial issues::: it is vital we deal in facts and not propaganda.

Let's start by debunking the 1619 fraud. Supporters of the 1619 Project claim Blacks should be placed at the center of the story about America because their contributions to America were so massive. The authors believe blacks are responsible for America’s “economic might::: its industrial power::: its electoral system::: diet::: popular music::: its legal system.” These authors believe “That black Americans::: as much as those men cast in alabaster in the nation’s capital::: are this nation’s true ‘‘founding fathers.’’

The authors of the 1619 curriculum are in COMPLETE DELUSION.

The only thing on that list blacks can take credit for is popular music. Period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An escape room for nurses? UConn School of Nursing’s Clinical Simulation Learning Center offers students invaluable hands-on learning experiences.

TODAY.UCONN.EDU
Padlocks::: Riddles::: and Medication Safety: An Innovative Teaching Tool for UConn Nurses - UConn Today",2021-06-18 13:13:01,An escape room from arrogant doctors::: whom lose thier cool with them::: AND the patients who made them who they are!!!,Margaret Burke,Looking for a nursing student who is willing to be a part time caregiver in Storrs. please Call. For information 765-631-7611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
